Date,Open,Source,High,Low,Adj Close,Volume
2019-12-18,6647.698242,bitcoin,7324.984863,6540.049316,7276.802734,31836522778
2019-12-19,7277.59082,bitcoin,7346.602539,7041.381836,7202.844238,25904604416
2019-12-20,7208.636719,bitcoin,7257.921875,7086.124023,7218.816406,22633815180
2019-12-21,7220.59375,bitcoin,7223.226074,7112.73584,7191.158691,19312552168
2019-12-22,7191.188477,bitcoin,7518.033203,7167.179199,7511.588867,23134537956
2019-12-23,7508.902344,bitcoin,7656.17627,7326.192383,7355.628418,27831788041
2019-12-24,7354.393066,bitcoin,7535.716797,7269.528809,7322.532227,22991622105
2019-12-25,7325.755859,bitcoin,7357.02002,7220.991211,7275.155762,21559505149
2019-12-26,7274.799316,bitcoin,7388.302734,7200.386719,7238.966797,22787010034
2019-12-27,7238.141113,bitcoin,7363.529297,7189.934082,7290.088379,22777360996
2019-12-28,7289.03125,bitcoin,7399.041016,7286.905273,7317.990234,21365673026
2019-12-29,7317.647461,bitcoin,7513.948242,7279.865234,7422.652832,22445257702
2019-12-30,7420.272949,bitcoin,7454.824219,7276.308105,7292.995117,22874131672
2019-12-31,7294.438965,bitcoin,7335.290039,7169.777832,7193.599121,21167946112
2020-01-01,7194.89209,bitcoin,7254.330566,7174.944336,7200.174316,18565664997
2020-01-02,7202.55127,bitcoin,7212.155273,6935.27002,6985.470215,20802083465
2020-01-03,6984.428711,bitcoin,7413.715332,6914.996094,7344.884277,28111481032
2020-01-04,7345.375488,bitcoin,7427.385742,7309.51416,7410.656738,18444271275
2020-01-05,7410.45166,bitcoin,7544.49707,7400.535645,7411.317383,19725074095
2020-01-06,7410.452148,bitcoin,7781.867188,7409.292969,7769.219238,23276261598
2020-01-07,7768.682129,bitcoin,8178.21582,7768.227539,8163.692383,28767291327
2020-01-08,8161.935547,bitcoin,8396.738281,7956.774414,8079.862793,31672559265
2020-01-09,8082.295898,bitcoin,8082.295898,7842.403809,7879.071289,24045990466
2020-01-10,7878.307617,bitcoin,8166.554199,7726.774902,8166.554199,28714583844
